cell_id	speed	num_of_vehicles	distance
30634_8	1.52	25.917026259049713	529.0
30634_7	1.97	24.528079947946537	469.0
30634_6	1.27	26.89428093193301	408.0
30634_5	19.63	3.3860129539382116	343.0
30581_10	23.67	3.4272660851514094	13140.0
30581_11	23.69	6.7204180024100575	13203.0
30634_4	19.65	2.941735959308787	286.0
30634_3	19.7	3.4365664153360442	219.0
30634_2	19.8	2.6594860010244465	166.0
30634_1	19.89	4.673077728812787	72.0
30634_0	19.99	3.46760585841381	0.0
30645_3	19.42	8.564182513533392	7944.0
30645_2	19.33	8.679256176939665	7848.0
30645_1	19.22	8.83023003768962	7753.0
30645_0	18.88	9.120274375909718	7657.0
30650_14	20.46	4.690315823297247	11146.0
30650_15	20.47	3.346895461010114	11226.0
30635_9	19.89	7.224689804167818	1206.0
30650_12	20.46	4.693753974666789	10995.0
30635_8	19.89	7.223050792349698	1096.0
30650_13	20.45	4.070120206512147	11076.0
30635_7	19.89	5.723553009291049	1009.0
30650_10	20.52	3.9441561017957825	10831.0
30635_6	19.9	3.9251248078108913	950.0
30650_11	20.48	5.506733532495223	10900.0
30635_5	19.9	3.5093037312327344	896.0
30635_4	1.0	40.92628720806974	834.0
30635_3	1.75	45.28547815020267	766.0
30635_2	1.35	45.23988043251313	697.0
30635_1	0.99	43.676745287047986	632.0
30635_0	1.32	36.82787982323734	584.0
30646_6	19.92	3.3625606244672634	8502.0
30646_5	19.96	3.2818479580716997	8451.0
30646_4	19.99	3.2359922944353663	8401.0
30638_10	20.15	2.8977128429594385	3948.0
30638_11	20.17	2.8795355100528917	4010.0
30646_3	20.0	5.821616214586486	8311.0
30646_2	20.02	5.808835514655376	8220.0
30646_1	20.0	5.8280816002925455	8130.0
30646_0	19.97	5.867438079979317	8040.0
30636_5	19.9	3.7610783145656774	2413.0
30636_4	19.9	3.7602013577311313	2337.0
30636_3	19.9	3.52272479455588	2266.0
30636_2	19.9	3.522134286562424	2194.0
30636_1	19.9	5.458467063421437	2084.0
30636_0	19.9	5.4579414707325675	1973.0
30647_2	19.2	8.400773803356556	8716.0
30647_1	19.38	8.176236308631122	8625.0
30647_0	19.53	6.2226682791035435	8553.0
30637_9	19.55	4.282527644582029	3200.0
30637_8	19.51	3.272920081624968	3153.0
30637_7	19.53	3.3751667266579606	3105.0
30637_6	19.57	6.980925660019645	3005.0
30637_5	19.71	5.75768671049768	2921.0
30637_4	19.86	5.596489984814536	2836.0
30637_3	19.95	5.5076652221247935	2752.0
30637_2	19.92	5.5325582111995075	2667.0
30637_1	19.82	5.932957305695423	2578.0
30637_0	19.46	6.156949729942841	2489.0
30648_9	20.14	5.6582698424749385	9447.0
30648_8	20.11	5.957476623734129	9353.0
30580_8	22.95	8.23574668600424	12332.0
30648_7	20.1	5.9713539826288295	9258.0
30580_7	23.01	8.114134611300575	12229.0
30648_6	20.09	3.370440501395816	9205.0
30648_5	20.07	5.301845244104699	9121.0
30648_4	20.0	4.496568214993468	9051.0
30648_3	19.92	4.538260478313968	8982.0
30648_2	19.82	3.7918036097945578	8925.0
30580_2	23.38	7.602837461828255	11848.0
30580_1	23.46	7.443108722237167	11741.0
30580_0	23.47	7.331610003625168	11635.0
30580_6	23.12	4.028820282939066	12176.0
30580_5	23.17	4.018397575869823	12123.0
30580_4	23.23	4.6475689324931375	12060.0
30580_3	23.29	7.791042745651916	11954.0
30648_1	19.76	3.8356504433781238	8869.0
30648_0	19.73	4.199519868201132	8807.0
30641_0	18.16	4.85548120743927	5530.0
30641_3	19.1	3.7469888192954364	5692.0
30641_2	18.91	4.071247679645037	5640.0
30641_1	18.84	3.9637683978836793	5589.0
30642_3	20.2	3.74397718484703	6146.0
30642_2	20.01	3.901801838649618	6085.0
30642_1	19.77	4.081398331469236	6025.0
30642_0	19.03	4.415035672188576	5964.0
30643_5	20.0	2.3673716896545596	6620.0
30643_4	20.04	4.94741027256175	6517.0
30643_3	20.14	4.839511996781232	6414.0
30643_2	20.31	3.6931058859991306	6332.0
30643_1	20.44	2.7456098528624038	6269.0
30643_0	20.38	2.7849469522958143	6207.0
30644_6	19.37	7.401454242596613	7555.0
30644_5	19.33	7.4529701671141675	7452.0
