ramp_merge	pie_merge	phi	delta	v_min	time_gap	fitness
0.63	0.87	3.47	0.29	5.47	1.4	230.018
0.57	0.9	3.24	0.55	4.97	1.22	145.796
0.36	0.86	2.46	0.05	3.26	1.23	130.804
0.51	0.89	2.12	0.02	5.73	1.28	169.192
0.37	0.9	3.29	0.33	3.17	1.27	184.504
0.29	0.93	2.45	0.48	3.33	1.38	165.0
0.5	0.98	1.84	0.27	3.15	1.43	253.535
0.46	0.87	2.32	0.57	3.71	1.33	170.764
0.26	0.91	1.82	0.13	5.04	1.28	81.924
0.42	0.93	1.94	0.12	3.97	1.42	270.199
0.49	0.89	1.96	0.49	4.23	1.36	200.63
0.29	0.94	3.29	0.12	4.73	1.46	450.534
0.35	0.99	3.1	0.04	3.46	1.28	112.14
0.62	0.93	3.06	0.45	3.38	1.28	105.328
0.61	0.92	2.24	0.29	5.78	1.26	100.457
0.48	0.97	2.0	0.16	4.47	1.34	172.696
0.39	0.86	2.87	0.38	4.48	1.45	358.999
0.6	0.97	2.33	0.5	4.19	1.31	87.567
0.17	0.87	1.86	0.39	4.31	1.29	135.094
0.12	0.98	2.84	0.51	4.2	1.31	84.775
0.62	0.96	2.49	0.3	3.84	1.3	91.654
0.34	0.97	2.3	0.59	4.27	1.49	342.013
0.22	0.99	2.52	0.59	5.7	1.25	83.117
0.1	0.91	2.78	0.19	3.94	1.35	86.55
0.32	0.89	2.62	0.59	5.58	1.44	374.385
0.47	0.9	1.92	0.08	4.19	1.31	147.617
0.32	0.95	1.97	0.5	3.42	1.47	423.739
0.53	0.99	2.24	0.45	3.57	1.46	364.818
0.19	0.92	3.29	0.11	3.76	1.38	188.116
0.34	0.85	2.24	0.23	4.55	1.21	83.633
0.35	0.85	3.36	0.43	5.5	1.23	128.708
0.46	0.89	1.99	0.55	4.61	1.46	459.183
0.5	0.93	3.28	0.06	4.33	1.28	105.942
0.37	0.95	2.27	0.45	4.77	1.21	133.922
0.13	0.99	2.93	0.47	4.87	1.41	83.785
0.6	0.9	2.72	0.49	3.62	1.37	271.72
0.21	0.88	2.88	0.27	3.27	1.28	84.73
0.41	0.93	2.03	0.33	3.24	1.28	93.065
0.37	0.94	3.58	0.55	4.38	1.38	221.138
0.17	0.96	2.74	0.3	4.72	1.23	82.094
0.48	0.99	2.01	0.35	5.55	1.41	225.496
0.61	0.88	2.92	0.35	5.87	1.47	426.226
0.61	0.94	3.38	0.47	4.58	1.4	263.802
0.55	0.95	2.36	0.03	4.29	1.44	332.431
0.34	0.94	2.43	0.54	5.37	1.36	182.855
0.52	0.89	3.43	0.42	5.64	1.26	135.776
0.42	0.93	1.95	0.08	4.03	1.35	123.065
0.58	0.94	2.25	0.11	4.14	1.2	89.303
0.14	0.91	3.13	0.29	4.97	1.3	84.628
0.44	0.92	3.0	0.47	4.42	1.41	358.967
